course_code,section,instructor,day,time,room
CHEM201,1,Ms. Maliha Zahan Chowdhury,Tuesday,04:30-06:00,107
CSE319,2,Ms. Arifa Sultana Zarna,Tuesday,10:00-11:30,108
MATH207,2,Mr. Md. Rakibul Islam,Tuesday,01:30-03:00,108
CSE113,4,Mr. Md. Jamil Uddin,Tuesday,03:00-04:30,108
MATH107,4,Mr. Md. Sajeed-Ur-Rahman,Tuesday,04:30-06:00,108
CSE315,2,Ms. Sayeda Suaiba Anwar,Tuesday,10:00-11:30,110
CSE315,3,Ms. Sayeda Suaiba Anwar,Tuesday,11:30-01:00,110
CSE311,3,TBA,Tuesday,01:30-03:00,110
PHY101,2,Ms. Sharmin Akter,Tuesday,03:00-04:30,110
MATH107,2,TBA,Tuesday,04:30-06:00,110
CSE315,8,Mr. Riad Hossain,Tuesday,8:30-10:00,111
CSE313,8,TBA,Tuesday,10:00-11:30,111
CSE223,1,Mr. Md. Siratul Mustakim Ifty,Tuesday,11:30-01:00,111
EEE213,3,TBA,Tuesday,01:30-03:00,111
CSE123,3,Mr. Joydwip Mohajon,Tuesday,03:00-04:30,111
CSE123,3,Mr. Joydwip Mohajon,Tuesday,04:30-06:00,111
CSE313,7,TBA,Tuesday,8:30-10:00,114
CSE315,7,Mr. Riad Hossain,Tuesday,10:00-11:30,114
CSE215,3,Mr. Ahamed- Al- Arifin,Tuesday,11:30-01:00,114
PHY101,3,Ms. Sharmin Akter,Tuesday,01:30-03:00,114
CSE113,3,Mr. Tanvir Azhar,Tuesday,03:00-04:30,114
CSE113,3,Mr. Tanvir Azhar,Tuesday,04:30-06:00,114
CSE311,5,Ms. Saraf Anika,Tuesday,11:30-01:00,311
CSE321,3,TBA,Tuesday,01:30-03:00,311
CSE411,3,Mr. Saklain Abdullah,Tuesday,03:00-04:30,311
CSE411,3,Mr. Saklain Abdullah,Tuesday,04:30-06:00,311
CSE215,4,Mr. Ahamed- Al- Arifin,Tuesday,10:00-11:30,312
CSE225,4,Mr. Md. Jamil Uddin,Tuesday,11:30-01:00,312
CSE411,2,Mr. Saklain Abdullah,Tuesday,01:30-03:00,312
CSE321,4,TBA,Tuesday,03:00-04:30,312
CSE411,4,Mr. Saklain Abdullah,Tuesday,04:30-06:00,312
EEE403,1,Mr. Md. Rakibul Islam,Tuesday,11:30-01:00,N201
CSE317,1,TBA,Tuesday,01:30-03:00,N201
CSE459,1,Ms. Nahida Nigar,Tuesday,10:00-11:30,N202
CSE325,3,Mr. Md. Jibon Mia,Tuesday,11:30-01:00,N202
CSE223,3,Ms.Shahin Akter,Tuesday,01:30-03:00,N202
CSE123,4,Mr. Tahsin Mahmud,Tuesday,03:00-04:30,N202
EEE213,4,Ms.Shahin Akter,Tuesday,04:30-06:00,N202
CSE111,7,TBA,Tuesday,8:30-10:00,N203
CSE321,2,TBA,Tuesday,11:30-01:00,N203
MATH203,1,TBA,Tuesday,01:30-03:00,N203
EEE213,5,Ms.Shahin Akter,Tuesday,03:00-04:30,N203
CSE123,5,Mr. Tahsin Mahmud,Tuesday,04:30-06:00,N203
MATH203,2,TBA,Tuesday,11:30-01:00,N204
CSE325,2,Mr. Md. Jibon Mia,Tuesday,01:30-03:00,N204
ENG111,1,TBA,Tuesday,03:00-04:30,N204
ENG111,1,TBA,Tuesday,04:30-06:00,N204
CSE115,2,TBA,Tuesday,8:30-10:00,N601
CSE123,2,Mr. Joydwip Mohajon,Tuesday,10:00-11:30,N601
CHEM201,2,Ms. Maliha Zahan Chowdhury,Tuesday,11:30-01:00,N601
CHEM201,0,TBA,Tuesday,01:30-03:00,N601
CSE111,1,Ms. Tanjum Motin Mitul,Tuesday,03:00-04:30,N601
CSE111,1,Ms. Tanjum Motin Mitul,Tuesday,04:30-06:00,N601
CSE111,6,TBA,Tuesday,10:00-11:30,N602
CSE115,1,TBA,Tuesday,11:30-01:00,N602
CSE311,1,Mr. Md. Jahidul Hasan Jahid,Tuesday,04:30-06:00,N602
CSE111,3,Ms. Arshiana Shamir,Tuesday,11:30-01:00,N603
CSE313,4,TBA,Tuesday,01:30-03:00,N603
MATH107,1,Mr. Md. Sajeed-Ur-Rahman,Tuesday,03:00-04:30,N603
ENG111,1,TBA,Tuesday,04:30-06:00,N603
AA200,1,TBA,Tuesday,8:30-10:00,N604
AA099,1,TBA,Tuesday,10:00-11:30,N604
EEE103,1,TBA,Tuesday,03:00-04:30,N604
EEE103,1,TBA,Tuesday,04:30-06:00,N604
MATH301,2,Mr. Mohammad Akbar Bin Shah,Tuesday,11:30-01:00,N605
MATH301,4,Mr. Mohammad Akbar Bin Shah,Tuesday,01:30-03:00,N605
CSE317,4,TBA,Tuesday,03:00-04:30,N605
CSE317,4,TBA,Tuesday,04:30-06:00,N605
ENG112,4,Ms. Parna Mutsuddy,Tuesday,9:30-11:30,102
CSE222,5,Mr. Tahsin Mahmud,Tuesday,11:30-01:30,102
CSE222,1,Mr. Md. Sabbir Al Ahsan,Tuesday,01:30-03:30,102
CSE226,1,Ms. Nishat Soultana Chy,Tuesday,03:30-05:30,102
CSE226,1,Ms. Nishat Soultana Chy,Tuesday,03:30-05:30,102
CSE226,1,Ms. Nishat Soultana Chy,Tuesday,03:30-05:30,102
CSE316,8,TBA,Tuesday,11:30-01:30,104
EEE312,2,Mr. S.M. Baque Billah,Tuesday,01:30-03:30,104
CSE316,3,Ms. Sayeda Suaiba Anwar,Tuesday,03:30-05:30,104
CSE316,3,Ms. Sayeda Suaiba Anwar,Tuesday,03:30-05:30,104
CSE316,3,Ms. Sayeda Suaiba Anwar,Tuesday,03:30-05:30,104
CSE212,6,TBA,Tuesday,9:30-11:30,115
CSE312,7,TBA,Tuesday,11:30-01:30,115
ENG112,15,Ms. Parna Mutsuddy,Tuesday,01:30-03:30,115
CSE124,6,Mr. Sourav Adhikary,Tuesday,03:30-05:30,115
CSE124,6,Mr. Sourav Adhikary,Tuesday,03:30-05:30,115
CSE124,6,Mr. Sourav Adhikary,Tuesday,03:30-05:30,115
CSE112,5,Ms. Tanjum Motin Mitul,Tuesday,9:30-11:30,313
CSE212,4,Mr. Sourav Adhikary,Tuesday,11:30-01:30,313
CSE112,3,Ms. Arshiana Shamir,Tuesday,01:30-03:30,313
CSE212,3,Mr. Mohammed Morshed Rana,Tuesday,03:30-05:30,313
CSE212,3,Mr. Mohammed Morshed Rana,Tuesday,03:30-05:30,313
CSE212,3,Mr. Mohammed Morshed Rana,Tuesday,03:30-05:30,313
CSE326,3,Mr. Md. Jibon Mia,Tuesday,9:30-11:30,N304
CSE124,2,Mr. Joydwip Mohajon,Tuesday,11:30-01:30,N304
CSE226,2,Ms. Nishat Soultana Chy,Tuesday,01:30-03:30,N304
CSE222,2,Mr. Md. Sabbir Al Ahsan,Tuesday,03:30-05:30,N304
CSE222,2,Mr. Md. Sabbir Al Ahsan,Tuesday,03:30-05:30,N304
CSE222,2,Mr. Md. Sabbir Al Ahsan,Tuesday,03:30-05:30,N304
EEE112,4,Ms. Tania Khadem,Tuesday,9:30-11:30,105
EEE112,6,Ms. Tania Khadem,Tuesday,11:30-01:30,105
EEE112,3,Ms. Tania Khadem,Tuesday,01:30-03:30,105
EEE404,1,TBA,Tuesday,03:30-05:30,105
EEE404,1,TBA,Tuesday,03:30-05:30,105
EEE404,1,TBA,Tuesday,03:30-05:30,105
CSE224,2,Mr. Md. Siratul Mustakim Ifty,Tuesday,9:30-11:30,106
EEE104,1,Mr. S.M. Baque Billah,Tuesday,11:30-01:30,106
EEE214,6,Mr. Kazi Muhammad Asif Ashrafi,Tuesday,01:30-03:30,106
EEE214,1,Mr. Kazi Muhammad Asif Ashrafi,Tuesday,03:30-05:30,106
EEE214,1,Mr. Kazi Muhammad Asif Ashrafi,Tuesday,03:30-05:30,106
EEE214,1,Mr. Kazi Muhammad Asif Ashrafi,Tuesday,03:30-05:30,106
CSE342,2,TBA,Tuesday,01:30-03:30,109
CSE342,1,TBA,Tuesday,03:30-05:30,109
CSE342,1,TBA,Tuesday,03:30-05:30,109
CSE342,1,TBA,Tuesday,03:30-05:30,109
CSE215,2,Mr. Sanath Kumar Das,Wednesday,10:00-11:30,103
EEE303,1,Mr. Sanath Kumar Das,Wednesday,11:30-01:00,103
CSE463,2,Ms. Arshiana Shamir,Wednesday,01:30-03:00,103
CSE439,2,Mr. Golam Moktader Daiyan,Wednesday,03:00-04:30,103
CSE439,2,Mr. Golam Moktader Daiyan,Wednesday,04:30-06:00,103
ENG111,4,TBA,Wednesday,8:30-10:00,107
PHY101,4,Mr. Md. Rakibul Islam,Wednesday,10:00-11:30,107
CSE321,4,TBA,Wednesday,11:30-01:00,107
EEE111,4,Ms. Tania Khadem,Wednesday,01:30-03:00,107
MATH207,4,Mr. Mashky Chowdhury Surja,Wednesday,03:00-04:30,107
MATH207,4,Mr. Mashky Chowdhury Surja,Wednesday,04:30-06:00,107
CSE123,6,Mr. Sourav Adhikary,Wednesday,10:00-11:30,108
EEE213,6,TBA,Wednesday,11:30-01:00,108
CSE313,2,TBA,Wednesday,01:30-03:00,108
CHEM201,0,TBA,Wednesday,03:00-04:30,108
MATH101,1,Mr. Mashky Chowdhury Surja,Wednesday,04:30-06:00,108
CSE327,4,Mr. Udoy Das,Wednesday,10:00-11:30,110
CSE311,2,Mr. Md. Jahidul Hasan Jahid,Wednesday,11:30-01:00,110
CSE313,3,TBA,Wednesday,03:00-04:30,110
CSE313,3,TBA,Wednesday,04:30-06:00,110
CSE111,7,TBA,Wednesday,10:00-11:30,111
CSE123,2,Mr. Joydwip Mohajon,Wednesday,11:30-01:00,111
EEE213,2,TBA,Wednesday,01:30-03:00,111
CSE463,1,Ms. Arshiana Shamir,Wednesday,03:00-04:30,111
CSE439,1,Mr. Golam Moktader Daiyan,Wednesday,04:30-06:00,111
CSE315,8,Mr. Riad Hossain,Wednesday,8:30-10:00,114
CSE313,8,TBA,Wednesday,10:00-11:30,114
CSE221,2,Mr. Md. Sabbir Al Ahsan,Wednesday,11:30-01:00,114
CSE311,7,TBA,Wednesday,01:30-03:00,114
CSE313,1,TBA,Wednesday,04:30-06:00,114
CSE319,3,Ms. Arifa Sultana Zarna,Wednesday,10:00-11:30,311
CSE319,4,Mr. Md. Jahidul Hasan Jahid,Wednesday,01:30-03:00,311
MATH207,3,Mr. Mohammad Akbar Bin Shah,Wednesday,03:00-04:30,311
CHEM201,3,Ms. Maliha Zahan Chowdhury,Wednesday,04:30-06:00,311
CSE221,4,Mr. Tahsin Mahmud,Wednesday,10:00-11:30,312
CSE225,4,Mr. Md. Jamil Uddin,Wednesday,11:30-01:00,312
CSE411,2,Mr. Saklain Abdullah,Wednesday,01:30-03:00,312
CSE327,3,Mr. Udoy Das,Wednesday,03:00-04:30,312
CSE411,3,Mr. Saklain Abdullah,Wednesday,04:30-06:00,312
CSE311,4,Ms. Saraf Anika,Wednesday,10:00-11:30,N202
MATH207,1,Mr. Mashky Chowdhury Surja,Wednesday,01:30-03:00,N202
CSE123,5,Mr. Tahsin Mahmud,Wednesday,03:00-04:30,N202
CSE115,5,Ms. Anika Bushra,Wednesday,04:30-06:00,N202
CSE459,2,Ms. Nahida Nigar,Wednesday,10:00-11:30,N203
CSE321,1,TBA,Wednesday,01:30-03:00,N203
CSE123,1,Mr. Joydwip Mohajon,Wednesday,03:00-04:30,N203
CSE315,6,Mr. Riad Hossain,Wednesday,10:00-11:30,N204
CSE311,6,Ms. Saraf Anika,Wednesday,11:30-01:00,N204
CSE111,2,Mr. Md. Jamil Uddin,Wednesday,01:30-03:00,N204
CSE221,1,Mr. Md. Sabbir Al Ahsan,Wednesday,03:00-04:30,N204
CSE225,1,Ms. Nishat Soultana Chy,Wednesday,04:30-06:00,N204
CSE317,1,TBA,Wednesday,8:30-10:00,N601
CSE411,1,Mr. Saklain Abdullah,Wednesday,11:30-01:00,N601
CSE221,3,Mr. Md. Sabbir Al Ahsan,Wednesday,01:30-03:00,N601
CSE225,3,Ms. Nishat Soultana Chy,Wednesday,03:00-04:30,N601
CSE225,3,Ms. Nishat Soultana Chy,Wednesday,04:30-06:00,N601
CSE317,2,TBA,Wednesday,10:00-11:30,N602
CSE327,2,Mr. Udoy Das,Wednesday,11:30-01:00,N602
CSE123,3,Mr. Joydwip Mohajon,Wednesday,01:30-03:00,N602
CSE115,3,TBA,Wednesday,03:00-04:30,N602
CSE115,3,TBA,Wednesday,04:30-06:00,N602
